代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz159998,计算机ETF,1.068,0.017,1.618,1.067,1.068,1.051,1.052,1.078,1.05,89776414,95858422
sz159997,电子ETF,1.725,0.008,0.466,1.721,1.724,1.717,1.708,1.736,1.691,14053900,24030367
sz159996,家电ETF,1.592,0.017,1.079,1.591,1.592,1.575,1.571,1.605,1.571,25502545,40586976
sz159995,芯片ETF,1.89,-0.004,-0.211,1.889,1.89,1.894,1.878,1.905,1.86,415046124,783405021
sz159994,5GETF,1.906,0.009,0.474,1.905,1.906,1.897,1.883,1.912,1.858,76303300,143973719
sz159993,证券ETF龙头,1.33,-0.003,-0.225,1.329,1.33,1.333,1.327,1.34,1.327,68961000,91973725
sz159992,创新药ETF,0.883,0.001,0.113,0.883,0.884,0.882,0.882,0.889,0.879,418078317,369732358
sz159991,创大盘ETF,0.775,0.003,0.389,0.773,0.774,0.772,0.763,0.775,0.76,5011000,3851948
sz159985,豆粕ETF,1.983,0.011,0.558,1.982,1.983,1.972,1.973,1.984,1.972,25817386,51104831
sz159982,中证500ETF鹏华,2.091,0.03,1.456,2.089,2.091,2.061,2.06,2.109,2.06,4672800,9790330
sz159981,能源化工ETF,1.277,0.002,0.157,1.276,1.277,1.275,1.276,1.284,1.274,78479900,100426240
sz159980,有色ETF大成,2.075,0.002,0.096,2.074,2.075,2.073,2.046,2.09,2.043,515224800,1066367341
sz159977,创业板ETF天弘,1.722,0.006,0.35,1.721,1.722,1.716,1.704,1.728,1.698,71733000,122989915
sz159976,湾创ETF,1.388,0.001,0.072,1.386,1.389,1.387,1.388,1.395,1.386,97500,135663
sz159975,深100ETF招商,0.741,0.004,0.543,0.739,0.741,0.737,0.736,0.743,0.734,1239100,917423
sz159974,央企创新ETF富国,1.832,0.011,0.604,1.83,1.832,1.821,1.829,1.844,1.829,1527500,2800845
sz159973,民企ETF,1.915,0.017,0.896,1.912,1.915,1.898,1.893,1.921,1.892,33500,63868
sz159972,5年地债ETF,117.115,0.015,0.013,117.091,117.115,117.1,117.104,117.13,117.085,47200,5527521
sz159971,创业板ETF富国,1.153,0.007,0.611,1.15,1.151,1.146,1.145,1.155,1.135,47555200,54550455
